id,name,rating,about,address,price_range,cuisines,features,preferences,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,img1_url,img2_url,img3_url
187,Warung Bambu Gili Air,4.3,,"Pemenang, West Nusa Tenggara Indonesia",$,"['Asian', 'Indonesian']","['Vegetarian friendly, Vegan optionsLunch, Dinner, BrunchTable Service, Takeout', 'Vegetarian friendly, Vegan options', 'Lunch, Dinner, Brunch', 'Table Service, Takeout']",[],Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/21/67/17/tasty-and-cheap-local.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/65/1c/7f/20161023-133435-richtone.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/76/f2/59/photo0jpg.jpg?w=900&h=500&s=1
188,Surf Kitchen,4.8,"Surf Kitchen is a rooftop bar and restaurant in Selong Belanak, Lombok. Located on the first floor of Bruga Villas, Surf Kitchen features beautiful rooftop views of the surrounding hills and is only a 15 minute walk from the famous Selong Belanak Beach or a short ride from many excellent surf beaches. Choose from our menu featuring Asian and Western cuisine or drop in for a barista coffee or a cool drink after a hard day at the beach at our street level cafe. Join us for our daily Happy Hour 5pm-7pm or enjoy watching your favorite live sports in the bar.","Jl. Selong Belanak - Kuta Bruga Villas Restauarant And Spa, Selong Belanak, Lombok 83572 Indonesia",$$ - $$$,['Pizza'],"['Accepts credit cards: Mastercard, Visa', 'Breakfast, Lunch, Dinner, Drinks', 'Delivery, Family style, Private Dining, Table Service, Takeout']","['lombok', 'beach']",7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d2/07/c9/cheese-burger.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/cc/49/56/brochette.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/cc/47/35/australian-sirloin-steak.jpg?w=900&h=500&s=1
189,Warung Rizki,4.9,"We are family owned restaurant that offer great food, cold drinks, friendly atmosphere, free parking & surf lessons.","Jl. Mandalika Resort Pantai Putri Nyale, Sengkol, Lombok 83573 Indonesia",$,"['Italian', 'Seafood', 'Korean Restaurants in Sengkol']","['Breakfast, Lunch, DinnerItalian, Seafood, Barbecue, European, Asian, Indonesian', 'Breakfast, Lunch, Dinner', 'Italian, Seafood, Barbecue, European, Asian, Indonesian']","['tanjung aan beach', 'indonesia']",12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/22/e0/2f/delicious-food-at-the.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/48/b6/d8/fish-with-vegetables.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/22/e2/91/lobster-tempeh-peanut.jpg?w=900&h=500&s=1
190,Warung Buati,4.6,,"Pemenang, West Nusa Tenggara 83352 Indonesia",$,"['Asian', 'Indonesian']","['Vegetarian friendly, Vegan optionsBreakfast, Lunch, DinnerTable Service, Takeout', 'Vegetarian friendly, Vegan options', 'Breakfast, Lunch, Dinner', 'Table Service, Takeout']","['urap urap', 'local food', 'indonesia']",8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/ee/62/fe/besuch-im-september-2015.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/ff/06/fb/img-20191111-163627-largejpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/7c/f8/49/caption.jpg?w=900&h=500&s=1
191,Warung Gili Gede,4.9,The local restaurant that is most popular with tourists from all over the world on this island. Offering seafood cuisine.,"Pemenang, West Nusa Tenggara 83365 Indonesia",$,"['Seafood', 'Asian']","['Vegetarian friendly, Vegan optionsCash OnlyBreakfast, Lunch, Dinner, Late Night, Drinks', 'Vegetarian friendly, Vegan options', 'Breakfast, Lunch, Dinner, Late Night, Drinks']","['grilled fish', 'kokomo', 'sauce']",9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/de/e4/36/gili-gede-stall-is-now.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e5/ae/fd/warung-gili-gede.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e3/db/09/squid.jpg?w=900&h=500&s=1
192,Istanbul Kebab 2,4.2,"Turkish kebabs healthy delicious fresh and open 24 hours.Turkish cuisine: The Turkish cuisine left over from the Ottoman culture influenced the cuisine of the Balkans and the Middle East and was influenced by these cuisines. Most of the meat dishes in Turkish cuisine are in kebabs, köfte and juicy meat dishes. Kebabs are usually found in restaurants and prepared by grilling method. Among the kebabs döner kebap is among the most held kebabs. Adana Kebab, Iskender Kebab and Ribs are also very common.","Jl. Sunrise Across The Harbor Sama Sama Bar About 50 Mt Away, Pemenang, West Nusa Tenggara 83352 Indonesia",$,"['Fast Food', 'Turkish']","['Vegetarian friendly, Halal, Gluten free optionsCash OnlyBreakfast, Lunch, Dinner, Drinks', 'Vegetarian friendly, Halal, Gluten free options', 'Breakfast, Lunch, Dinner, Drinks']",['kebab'],12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/0f/0d/f1/full-moon.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f6/f9/04/img20190629150531-largejpg.jpg?w=700&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/15/11/5d/caption.jpg?w=900&h=500&s=1
193,Pj's Beach Bar & Grill,4.3,"Family friendly seaside bar & grill, best known for our flame grilled burgers. We serve breakfast, lunch & dinner. Join us for our weekly live band & pub quiz!","Sunset Beach Gili Air, Lombok, Gili Indah Kec. Pemenang, Kabupaten Lombok Utara, Ntb, Pemenang, West Nusa Tenggara 83355 Indonesia",$$$$,['American'],"['Cash Only, Accepts credit cards: Mastercard, Visa', 'Breakfast, Lunch, Dinner, Drinks', 'Delivery, Family style, Table Service, Takeout']","['burger', 'pjs', 'sunset']",7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/4f/0a/d9/flame-grilled-burgers.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/b4/4a/ab/chacuterie-board-wine.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/ea/1a/69/tofu-crunch-salad.jpg?w=900&h=500&s=1
194,WR BB Kontenporer,5.0,"Jl. Sunset Road, Pemenang, West Nusa Tenggara 83352 Indonesia","Jl. Sunset Road, Pemenang, West Nusa Tenggara 83352 Indonesia",$,"['International', 'European']","['Vegetarian friendly, Vegan optionsBreakfast, Lunch, DinnerTable Service, Takeout', 'Vegetarian friendly, Vegan options', 'Breakfast, Lunch, Dinner', 'Table Service, Takeout']",['great food'],12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d7/9a/45/photo2jpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/f9/dc/0c/the-best-beef-burger.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f8/3d/9d/wr-bb-kontenporer.jpg?w=900&h=500&s=1
195,Easy Warung and Bar,5.0,"Unnamed Road, Pemenang, West Nusa Tenggara Indonesia","Unnamed Road, Pemenang, West Nusa Tenggara Indonesia",$$-$$$,"['Asian', 'Indonesian']","['Accepts credit cards: VisaLunch, Dinner, DrinksTable Service', 'Lunch, Dinner, Drinks']","['beach', 'gili', 'cocktails']",Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/32/88/73/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/3c/3e/21/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/b7/82/10/caption.jpg?w=900&h=500&s=1
196,Balè Tajuk Cafè,4.4,,"Sengiggi Beach, Senggigi, Lombok Indonesia",$,"['Asian', 'Indonesian', 'Latin Restaurants in Senggigi']","['Vegetarian friendly, Vegan optionsCash OnlyBreakfast, Lunch, Dinner, Late Night, Drinks', 'Vegetarian friendly, Vegan options', 'Breakfast, Lunch, Dinner, Late Night, Drinks']","['indonesian food', 'lombok']",10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/1d/11/c3/bale-tajuk-cafe.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/1d/11/e7/bale-tajuk-cafe.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/5e/79/32/photo1jpg.jpg?w=900&h=500&s=1
197,Oasi Italian Pizza & Bungalows,4.6,,"Pemenang, West Nusa Tenggara Indonesia",$$ - $$$,"['Italian', 'Pizza']","['Vegetarian friendly, Vegan optionsLunch, DinnerDelivery, Table Service, Takeout', 'Vegetarian friendly, Vegan options', 'Lunch, Dinner', 'Delivery, Table Service, Takeout']",[],5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/50/e6/d2/photo1jpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/99/db/0e/img-20171226-181210-largejpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/03/9b/bf/photo3jpg.jpg?w=900&h=500&s=1
198,Warung Mexicana x Crepes,4.7,"Local Warung (Restaurant) that serves wraps, burritos, falafels and traditional Indonesian food that can be made vegetarian or vegan. They also serve fresh fruit juices and crepes (traditional and vegan). Food can be made to eat at the restaurant, take away, or delivery in Gili Air.","Jl. Masjid, Pemenang, West Nusa Tenggara 83352 Indonesia",$,"['Mexican', 'Fusion']","['Vegetarian friendly, Vegan options, Gluten free optionsLunch, DinnerTable Service, Takeout', 'Vegetarian friendly, Vegan options, Gluten free options', 'Lunch, Dinner', 'Table Service, Takeout']","['wraps', 'burrito', 'spicy']",Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/6a/7c/4b/warung-mexicana-x-crepes.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/09/f7/8b/img-20200229-133545-largejpg.jpg?w=700&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/34/39/96/photo0jpg.jpg?w=900&h=500&s=1
199,Pizzeria Da Marco,4.9,"Jalan Vila Kelapa, Gili Indah, Kabupaten Lombok Utara, Nusa Tenggara Barat, Pemenang, West Nusa Tenggara 83352 Indonesia","Jalan Vila Kelapa, Gili Indah, Kabupaten Lombok Utara, Nusa Tenggara Barat, Pemenang, West Nusa Tenggara 83352 Indonesia",$$ - $$$,['Italian'],"['Accepts credit cards: Mastercard, VisaDinner, DrinksDelivery, Table Service', 'Accepts credit cards: Mastercard, Visa', 'Dinner, Drinks', 'Delivery, Table Service']","['pizza', 'gili t', 'island']",4:00 PM - 10:45 PM,4:00 PM - 10:45 PM,4:00 PM - 10:45 PM,4:00 PM - 10:45 PM,4:00 PM - 10:45 PM,4:00 PM - 10:45 PM,4:00 PM - 10:45 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/92/2c/ee/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/75/84/96/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/20/5d/65/caption.jpg?w=600&h=400&s=1
200,Rocksalt Restaurant,4.6,"A relaxed & casual bistro restaurant in central Kuta, Lombok - focused on locally sourced meats with healthy & organic options","8 Jalan Raya Kuta, Kuta, Lombok 83573 Indonesia",$$ - $$$,"['Barbecue', 'Healthy Restaurants in Kuta', 'Fast Food Restaurants in Kuta', 'Campania Restaurants in Kuta']","['Vegetarian friendly, Vegan optionsLunch, DinnerTable Service', 'Vegetarian friendly, Vegan options', 'Lunch, Dinner']","['burger', 'fries', 'hand cut chips', 'salad', 'homemade ice cream', 'vegan options', 'lombok', 'crispy', 'sauce']",12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/66/58/6d/rocksalt-restaurant.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/66/58/6c/rocksalt-restaurant.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/81/6b/d0/caption.jpg?w=900&h=500&s=1
201,Bluefin Seafood Restaurant,4.2,"Perairan Tanjung Kelor, Desa Sekotong Barat, Lombok Indonesia","Perairan Tanjung Kelor, Desa Sekotong Barat, Lombok Indonesia",$$ - $$$,['Seafood'],"['Lunch, DinnerSeafood', 'Lunch, Dinner']",['lobster'],11:00 AM - 6:00 PM,Closed,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/3f/4a/39/grilled-fish.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/60/cb/52/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/03/8d/72/caption.jpg?w=900&h=500&s=1
202,Sabores Sunset Restaurant & Bar,4.5,"JL. Raya Senggigi, Batu Layar, Senggigi, Lombok Indonesia","JL. Raya Senggigi, Batu Layar, Senggigi, Lombok Indonesia",$$ - $$$,['Latin'],"['Lunch, DinnerLatin, Bar, Spanish, Asian, Pub', 'Lunch, Dinner', 'Latin, Bar, Spanish, Asian, Pub']",[],10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/25/51/24/nestled-on-a-stunning.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/40/83/48/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/40/83/49/caption.jpg?w=900&h=500&s=1
203,Camilla Beach Club,4.3,"If you are at Gili Air to experience the island’s grassroots level life and calmness then Camilla beach club is the coolest place to hang out. Located in the north part of Gili Air, facing the sunset, with easy connectivity to beaches and tourist spots, this is the best place to hang out for a meal or just a brunch. We offer a wide range of cuisines and drinks to choose from. The ambiance, taste, and hospitality would make you comfortable and we strive to make your holiday the most memorable one for your lifetime. We are located at North Lombok regency area to welcome you for a serene dining experience. At Camilla beach club you can experience fresh food, serene music, clean environment, refreshing drinks and proximity to the Bintang beach. It is one of the finest clubs in Gili Air, Indonesia and you can get to taste authentic local and international dishes at our restaurant. Here you can relax under the sun and spend some quality time with your loved ones in our","Bintang Beach In front of Camilla Resort, Pemenang, West Nusa Tenggara 83352 Indonesia",$$ - $$$,"['Seafood', 'International']","['Vegetarian friendly, Vegan options, Gluten free options', 'Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks']",[],8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/e5/48/5e/restaurant-view.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/3b/cf/ae/breakfast-time.jpg?w=900&h=500&s=1,
204,Amatera Restaurant Senggigi,4.5,"Experience a range of delicious flavors and dining experiences at Kalandara Restaurant. A selection of authentic local cuisine and international cuisine such are also available to enjoy. An extended outdoor area offers a sweeping view over the entire property and the blue of the ocean and sound of the waves offered by nature, participate to accompany you. It is open for breakfast every morning, offering a delicious choice of different options. From international favorites and healthy fare to local style dishes and signature specialties, our culinary team understands the importance of a good breakfast to start the day off right. For the dinner, Kalandara Restaurant transforms into a romantic environment complete with elegant table settings and mood music drifting through the night air. A semi-fine dining menu takes guests on a flavorful journey of culinary excellence driven by sustainably sourced ingredients from the land and sea.","Jalan raya senggigi, mangsit, Senggigi, Lombok 83355 Indonesia",$$ - $$$,"['Italian', 'European', 'Latin Restaurants in Senggigi']","['Cash Only, Accepts credit cards: American Express, Mastercard, Visa', 'Breakfast, Lunch, Dinner, Brunch, Drinks']",[],7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/e6/f5/b8/indoor-seating-area.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/00/30/3a/breakfast-menu-soto-ayam.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bf/53/e4/caption.jpg?w=900&h=500&s=1
205,Family Cafe,4.9,"We are family cafe, serve for breakfast ,lunch and dinner. We have Asian food, western, and vegan","Pemenang, West Nusa Tenggara 83352 Indonesia",$,"['Asian', 'Indonesian']","['We are family cafe, serve for breakfast ,lunch and dinner. We have Asian food, western, and vegan', 'Vegetarian friendly, Vegan optionsBreakfast, Lunch, DinnerTable Service, Takeout', 'Vegetarian friendly, Vegan options', 'Breakfast, Lunch, Dinner', 'Table Service, Takeout']",[],Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/a0/0c/a1/20190803-210618-largejpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/a0/0c/a2/20190803-201858-largejpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/95/ef/91/gado-gado.jpg?w=900&h=-1&s=1
206,Leaf Cafe,4.3,We have shifted about a mile down the Road in Kerandangan. Senggigi. Call if you need directions and we will guide you to us.,"Sengggi Main Street We are exactly beside the mosque., Senggigi, Lombok 83355 Indonesia",$,"['Seafood', 'Barbecue', 'Latin Restaurants in Senggigi', 'Pizza for Lunch in Senggigi']","['Vegetarian friendly, Vegan optionsCash OnlyDinner, Late Night', 'Vegetarian friendly, Vegan options', 'Dinner, Late Night']",[],12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/ca/c4/23/the-new-building.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/35/06/8f/banana-leaf-cafe.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/cd/ae/69/photo0jpg.jpg?w=900&h=500&s=1
207,Be Gili Mood | Gili Air,5.0,"""Tucked away on the serene island of Gili Air, Be GILI MOOD opens its doors, presenting an Indonesian culinary journey immersed in the rich flavors and traditions of East Lombok. With its doors re-opening in 2024, We aim to provide our beloved customers with exceptional service, bringing back the warm and inviting ambiance of a typical simple home atmosphere. At their core, Be GILI MOOD cherishes the art of ""READING,"" seeking to rekindle the joy of reading in the face of technological distractions, offering a unique and enriching experience for our valued guests. So we combine a culinary atmosphere with a different touch to the reading culture. So we provide a menu like you read the newspaper We look forward to see you Good Mood People :)""","Desa Gili Indah Dusun Gili Air Rt.04, Pemenang, West Nusa Tenggara 83352 Indonesia",$,"['Asian', 'Indonesian']","['Cash Only, Accepts credit cards: Mastercard, VisaLunch, DinnerDelivery, Table Service, Takeout', 'Cash Only, Accepts credit cards: Mastercard, Visa', 'Lunch, Dinner', 'Delivery, Table Service, Takeout']","['chicken', 'indonesian food', 'meters', 'presentation', 'gili', 'menu']",11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/d7/a6/ac/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/2b/dc/8c/chicken-rendang-and-chicken.jpg?w=600&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/0a/79/21/kue-lapis-rolls-layer.jpg?w=900&h=500&s=1
208,The Office Bar and Restaurant,3.9,"Fantastic beach-front location on the bay at Senggigi, overlooking the local fishing boats. Views of south-west Lombok, Nusa Penida and Bali. Friendly staff and splendid sunsets. Multi-channel TV and free pool table and WiFi.","Jl. Raya Senggigi Km 8 Pasar Seni, Senggigi, Lombok 83355 Indonesia",$$ - $$$,"['International', 'Latin Restaurants in Senggigi']","['Vegetarian friendlyBreakfast, Lunch, Dinner, Brunch, Late Night, DrinksTable Service', 'Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks']","['sunset', 'ocean']",Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/72/c6/e4/sunset-from-the-office.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/4a/a4/70/photo1jpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/05/15/32/caption.jpg?w=900&h=500&s=1
209,Rumah Makan Cahaya,4.0,"Jl. Raya BIL Bandara Internasional Lombok, Praya, Lombok Indonesia","Jl. Raya BIL Bandara Internasional Lombok, Praya, Lombok Indonesia",$,"['Asian', 'Arabic Restaurants in Praya']","['HalalBreakfast, Lunch, Dinner, BrunchTable Service, Takeout', 'Breakfast, Lunch, Dinner, Brunch', 'Table Service, Takeout']",[],Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/d0/4b/24/front-look.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/17/65/eb/nasi-balap-puyung-dengan.jpg?w=600&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/01/29/10/rumah-makan-cahaya.jpg?w=900&h=-1&s=1
210,Luana Bowls Lombok,5.0,"Inspired by Lombok’s relaxed island rhythm, our restaurant in Selong Belanak came to life in October 2024, born from a long-held dream come true. Giving you a small tropical restaurant, with positive energy soaking in the island life, good vegan and vegetarian food and warm smiles. Our menu brings together fresh ingredients and local flavors, that not only taste amazing but also help you feel fantastic from the inside out. From Poke Bowls to Mexican Jackfruit Bowl and fresh Sourdough Bread. Whether you’re a vegan regular or simply here to try something new, we promise you won’t miss a thing.","Jalan Selong Belanak, Selong Belanak, Lombok 83572 Indonesia",$$ - $$$,"['Cafe', 'International']","['Digital Payments, Accepts credit cards: Mastercard, Visa', 'Breakfast, Lunch, Dinner, Brunch, Drinks', 'Family style, Table Service, Takeout']",[],8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 4:00 PM,8:00 AM - 10:00 PM,8:00 AM - 4:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/14/f2/62/great-lunch-bowls-in.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/3e/20/7c/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/14/f2/65/great-lunch-bowls-in.jpg?w=900&h=500&s=1
211,Lumbung Restaurant,5.0,"The award winning Lumbung Restaurant at The Oberoi, Lombok takes its name from the traditional rice storage containers that are integral to daily life on Lombok.
Located within the lush hotel gardens, Lumbung Restaurant includes an open sided, thatched structure and an al fresco courtyard. Once a week, guests are entertained by traditional Balinese dancers and musicians performing in the adjacent amphitheatre.
The menu features Indonesian, Western and Indian cuisine, topped off with delicious imported cheese, homemade ice creams and sorbets. We also offer a range of sugar free desserts and a special Children's menu. 
Lumbung Restaurant also hosts special dining nights. Please contact +62 370 6138 444 for reservation.","Medana Beach The Oberoi Beach Resort, Tanjung, Lombok 83352 Indonesia",$$$$,"['Indian', 'European']","['Digital Payments, Accepts credit cards: American Express, Discover, Mastercard, VisaDinnerTakeout', 'Digital Payments, Accepts credit cards: American Express, Discover, Mastercard, Visa']",[],7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/5d/e1/80/enjoy-lombok-finest-culinary.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/5d/ea/06/enjoy-exquisite-food.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/3c/32/01/amazing-indonesian-menu.jpg?w=900&h=500&s=1
